, 120, 0, 
#1, 1, 120, 
#2, 1, 121, 
$$, 1, 122, 
$%$!@, 1, 123, 
$1, 1, 124, 
$1.25, 1, 125, 
$1.50, 1, 126, 
$100, 1, 127, 
$100,000, 1, 128, 
$17.38, 1, 129, 
$2.00, 1, 130, 
$2.50, 1, 131, 
$3.50, 1, 132, 
$4.00, 1, 133, 
$4.50, 2, 134, 
$5, 2, 136, 
$5+, 1, 138, 
$5.00, 1, 139, 
$5.50, 1, 140, 
$50, 1, 141, 
$500, 1, 142, 
$600,000, 1, 143, 
&, 8, 144, 
*, 2, 152, 
*and*, 1, 154, 
*another*, 1, 155, 
*any*, 2, 156, 
*before*, 1, 158, 
*big*, 1, 159, 
*course*, 1, 160, 
*does*, 1, 161, 
*done*, 1, 162, 
*enforce*, 1, 163, 
*enjoy*, 1, 164, 
*gesture*, 1, 165, 
*has*, 1, 166, 
*hated*, 1, 167, 
*he*, 1, 168, 
*i*, 2, 169, 
*looks*, 1, 171, 
*not*, 2, 172, 
*nothing*, 1, 174, 
*paid*, 1, 175, 
*pow*, 1, 176, 
*quality*, 1, 177, 
*really*, 1, 178, 
*something, 1, 179, 
*sounds*, 1, 180, 
*spoilers*, 1, 181, 
*stupid*, 1, 182, 
*the*, 1, 183, 
*whole, 1, 184, 
*women*!, 1, 185, 
*you*, 1, 186, 
+, 1, 187, 
+1, 14, 188, 
+2, 20, 202, 
+2.0, 1, 222, 
+2.5, 2, 223, 
+3, 6, 225, 
+3.5, 1, 231, 
+3.7, 1, 232, 
+4, 49, 233, 
., 1, 282, 
...creepshow, 1, 283, 
...i, 1, 284, 
...the, 1, 285, 
...ucbvax!sim!thuan, 1, 286, 
...{ucbvax,sun}!pixar!good, 6, 287, 
.22, 1, 293, 
0, 4, 294, 
007, 1, 298, 
015, 1, 299, 
1, 2, 300, 
10, 11, 302, 
10,000, 1, 313, 
100, 1, 314, 
100%, 1, 315, 
101, 1, 316, 
11, 1, 317, 
12, 2, 318, 
120, 1, 320, 
1274, 1, 321, 
13, 2, 322, 
13th, 1, 324, 
14, 2, 325, 
15, 2, 327, 
16, 2, 329, 
17, 1, 331, 
18, 4, 332, 
1859, 1, 336, 
18th, 2, 337, 
1928, 1, 339, 
1939, 2, 340, 
1940, 1, 342, 
1941, 1, 343, 
1942, 1, 344, 
1942/1986, 1, 345, 
1943, 2, 346, 
1944, 1, 348, 
1950, 3, 349, 
1951, 1, 352, 
1954, 1, 353, 
1955, 1, 354, 
1957, 2, 355, 
1958, 1, 357, 
1960, 1, 358, 
1962, 1, 359, 
1963, 1, 360, 
1964, 1, 361, 
1965, 2, 362, 
1966, 2, 364, 
1967, 2, 366, 
1970, 1, 368, 
1971, 2, 369, 
1972, 1, 371, 
1973, 1, 372, 
1975, 1, 373, 
1976, 1, 374, 
